modelo,grupo,log_alvo,n_colunas,mae_medio,mae_desvio,rmse_medio,r2_medio,nao_positivas,segundos,origem
HistGradientBoosting,fisicas_originais,False,18,65668.24595362604,3770.76992076881,115895.15386466226,0.8906851007019835,0,3.2160653000464663,execucao_atual
Extra Trees,fisicas_originais,False,18,67364.73970444086,1960.5594465692807,118659.44370604678,0.8862027975681256,0,9.664254099945538,execucao_atual
Random Forest,fisicas_originais,False,18,69859.88336130115,1829.3817515311246,128885.20276075306,0.8661735228702598,0,7.280279099941254,execucao_atual
Ridge,fisicas_originais,False,18,97344.71127721545,922.1999733608226,153417.30696074988,0.8107750901227178,20,0.2693520999746396,notebook_04
