modelo,grupo,log_alvo,n_colunas,mae_medio,mae_desvio,rmse_medio,r2_medio,nao_positivas,segundos,origem
HistGradientBoosting,fisicas_demografia_sem_hous_val_amt,True,50,62456.57983532915,2767.1830874601806,112160.84732446435,0.8988039449897052,0,5.57183679996524,execucao_atual
HistGradientBoosting,fisicas_demografia_sem_hous_val_amt,True,50,62736.888502091424,2902.4636343604056,113191.08517334115,0.8968987868788408,0,4.844779600040056,execucao_atual
HistGradientBoosting,fisicas_demografia_sem_hous_val_amt,True,50,63375.43396210728,2932.890164035256,114172.3585340639,0.8949492107396436,0,4.210090600070544,execucao_atual
HistGradientBoosting,fisicas_demografia_sem_hous_val_amt,True,50,63459.863802786065,3014.619604568909,114272.90695977978,0.8948477958001902,0,6.23730539996177,execucao_atual
HistGradientBoosting,fisicas_demografia_sem_hous_val_amt,True,50,63518.2772486757,3145.9025263551134,113543.87539116132,0.8961751227365052,0,3.294482299941592,execucao_atual
HistGradientBoosting,fisicas_demografia_sem_hous_val_amt,False,50,63646.11702554452,3327.5483192287024,113821.55730234395,0.8947550050206529,0,4.16094760003034,execucao_atual
HistGradientBoosting,todas_candidatas,False,51,63808.60210120108,3392.0068492908463,113478.65356333967,0.8951774630407052,0,4.18447560002096,execucao_atual
HistGradientBoosting,fisicas_demografia_sem_hous_val_amt,True,50,64704.76271743366,2572.071068238201,118217.25057217915,0.8874866692725756,0,2.884284400031902,execucao_atual
HistGradientBoosting,fisicas_com_derivadas,False,25,65320.318128314364,3710.267345638846,117071.26354871473,0.8880326953003183,0,3.5237825999502093,execucao_atual
HistGradientBoosting,fisicas_originais,False,18,65668.24595362604,3770.76992076881,115895.15386466226,0.8906851007019835,0,3.2160653000464663,execucao_atual
Extra Trees,todas_candidatas,False,51,65731.92509484418,1915.7226268796032,117421.84059531242,0.888765870288608,0,17.889068099902943,execucao_atual
Extra Trees,fisicas_demografia_sem_hous_val_amt,False,50,66132.31742711629,1882.9882318313405,118039.38037171341,0.8875564600503824,0,17.856021500076167,execucao_atual
Extra Trees,fisicas_originais,False,18,67364.73970444086,1960.5594465692807,118659.44370604678,0.8862027975681256,0,9.664254099945538,execucao_atual
Extra Trees,fisicas_com_derivadas,False,25,67637.19767879574,1988.1446570572791,120044.20680016303,0.8835338598485647,0,13.849859399953857,execucao_atual
Random Forest,fisicas_originais,False,18,69859.88336130115,1829.3817515311246,128885.20276075306,0.8661735228702598,0,7.280279099941254,execucao_atual
Ridge,fisicas_originais,False,18,97344.71127721545,922.1999733608226,153417.30696074988,0.8107750901227178,20,0.2693520999746396,notebook_04
