janela,mae,rmse,r2,previsoes_nao_positivas,segundos
1,59631.468111459406,108841.09540114831,0.9048185236931499,0,1.5995407999726012
2,62576.32478678022,112289.97426095532,0.9001073979329757,0,1.8565539000555873
3,65161.94660774782,115351.47231128946,0.89148591334299,0,2.103242599987425
