feature,media_abs_shap,media_shap
lat,0.13836937869307245,0.005522725487540108
grade,0.10994936623780409,-0.007607243640368407
sqft_living,0.10373009152034791,-0.0034543025046061284
per_bchlr,0.06845804916839986,-0.009645937961341394
per_prfsnl,0.06662839446280444,-0.0044860228835127336
sqft_living15,0.02773298047574619,0.0033431423249311114
condition,0.02734429638363846,-0.005286640981693884
view,0.02697049178002766,0.0031755000945599588
log_living_area,0.025903920746899987,-0.0017347404319725287
sqft_lot,0.024520208262641528,0.00047597555934106897
long,0.02297322138624435,0.00015476423720878088
yr_built,0.022657458460974177,-0.0009787160841919441
sqft_above,0.02175279348856653,-0.0014401021805728316
bathrooms_per_bedroom,0.008187990275238326,-6.510162452058601e-05
log_lot_area,0.007287713450757091,0.00015064911439340917
bathrooms,0.007069010740028663,-0.0001219690224688245
medn_incm_per_prsn_amt,0.006934913467513432,-0.000648145855393686
sqft_lot15,0.006065675414844657,-0.002011088352257066
medn_hshld_incm_amt,0.005908537722815376,-0.0002480663147444365
waterfront,0.005809160618837903,0.00014040366102591932
edctn_high_schl_qty,0.004923522650554157,0.0009767752882627993
basement_area_ratio,0.004889825948765134,0.000925611943417467
edctn_9_12_qty,0.004753577603829387,0.000280752523171691
yr_renovated,0.004738411046033268,-0.0010792555826246422
zipcode,0.004732506909844622,0.00021456986073707497
living_area_per_bedroom,0.004699662180961903,-0.0007799608300923179
edctn_some_clg_qty,0.004318489047651587,0.0006724592412716722
floors,0.003894491621319102,0.0017241587136381047
non_farm_qty,0.0035898136786021153,-0.00018201791577795946
edctn_bchlr_dgre_qty,0.0028921615137385216,7.953367070034506e-05
per_hsd,0.0027156732858240255,-0.000554309787796861
sqft_basement,0.002646362102001361,-0.0006874293426894613
per_9_to_12,0.002195285868827406,3.418547288809195e-05
edctn_less_than_9_qty,0.002110919533020888,-0.00019793308700621144
edctn_assoc_dgre_qty,0.00202019582753145,1.3717766306236071e-05
per_less_than_9,0.002009466242261854,-0.000393673999397743
edctn_prfsnl_qty,0.0018725709291257254,-0.00029660438035369077
bedrooms,0.0017407843839244174,0.00022123125351476532
per_some_clg,0.0016102766723778757,-0.0003338567367200155
ppltn_qty,0.0012930723429638259,0.0002481182819086663
urbn_ppltn_qty,0.0007998051176958215,0.00020187400093406638
per_assoc,0.000672967478859806,-8.079256779008147e-06
farm_ppltn_qty,0.0006102398270808384,0.00014310965358322445
has_renovation_year,0.00045075987814891156,-0.00010608392752318687
per_urbn,0.00042490285288876255,3.573553339804466e-05
per_non_farm,0.00041882383935452775,9.891301344955506e-05
per_farm,0.0003274042887491001,-2.029045653616122e-05
has_recorded_basement,0.00022877170813742436,3.371151910620914e-05
sbrbn_ppltn_qty,2.2613181777889482e-05,1.1967648587844596e-06
per_sbrbn,1.7496610835634213e-05,1.2879714530324391e-06
