modelo,janela,mae,rmse,r2,mae_treino,previsoes_nao_positivas,segundos,n_treino,n_validacao
Mediana,1,217399.75209030102,360307.1205506741,-0.043067271153746756,222565.48723423184,0,0.023210700001072837,11241,2392
Mediana,2,219376.58179581797,362340.4371793959,-0.04012364551082026,221711.61331278438,0,0.004720000000816071,13626,1626
Mediana,3,217633.64997391758,357215.4468496853,-0.04063947538387902,221434.34466688547,0,0.004306299997551832,15235,1917
Regressão linear,1,96327.36322558214,153643.4792103244,0.8103316374620662,93921.00217880623,7,0.08120399999825167,11241,2392
Regressão linear,2,97040.95970315576,151775.6635351048,0.8175030368735493,94046.38109397814,6,0.1015038999976241,13626,1626
Regressão linear,3,98487.59934486647,155240.61833344708,0.8034601759211518,94011.45963375755,8,0.10309369999959017,15235,1917
Ridge,1,96528.2010362473,153569.57043307475,0.8105140700023563,94207.51701985835,6,0.0879811000013433,11241,2392
Ridge,2,97160.98999558344,151803.35399458447,0.8174364400868609,94297.87477444965,6,0.08968550000281539,13626,1626
Ridge,3,98344.9427998156,154878.99645459035,0.804374760278936,94244.8904031415,8,0.09655479999855743,15235,1917
