modelo,MAPE_pct,MAE,RMSE,R2,erro_mediano,erro_p90,erro_percentual_mediano,dentro_10_pct,dentro_20_pct,vies_medio,previsoes_nao_positivas
Ridge,20.16690142352901,102170.13457301135,172212.4378295904,0.780529857690293,72542.23651276191,193378.8430303288,15.284997164383112,33.91826368044332,61.37150773493419,-36637.546875996435,13
LightGBM,12.77057805502231,74089.40540751918,129025.96342567274,0.8768028567938044,44655.815538397816,158094.36045553628,10.029177994437017,49.9191872546756,80.55876241052874,-45704.695960408506,0
