modelo,grupo,log_alvo,n_colunas,mae_medio,mae_desvio,rmse_medio,r2_medio,nao_positivas,segundos,origem
LightGBM,fisicas_originais,False,18,66411.62565754505,3360.1283126251587,117255.35740591917,0.8878321075507539,0,0.7488143000009586,execucao_atual
XGBoost,fisicas_originais,False,18,67780.26525637638,2244.5209199725673,116100.56935300409,0.8911439828117841,0,1.275115000000369,execucao_atual
Random Forest,fisicas_originais,False,18,69859.88336130115,1829.3817515311246,128885.20276075306,0.8661735228702598,0,6.358186599998589,execucao_atual
Ridge,fisicas_originais,False,18,97344.71127721545,922.1999733608226,153417.30696074988,0.8107750901227178,20,0.274221400002716,notebook_04
