modelo,grupo,log_alvo,n_colunas,mae_medio,mae_desvio,rmse_medio,r2_medio,nao_positivas,segundos,origem
LightGBM,fisicas_demografia_sem_hous_val_amt,True,50,62249.43121694983,3465.59744496448,111291.12761933247,0.9000092143221106,0,1.5328898999978264,execucao_atual
LightGBM,fisicas_demografia_sem_hous_val_amt,True,50,62578.92609451907,3513.6878216266664,113059.49659972196,0.896826196835855,0,1.99940830000196,execucao_atual
LightGBM,fisicas_demografia_sem_hous_val_amt,True,50,62857.28588880858,2470.727385482197,112329.35124636407,0.8983366802311182,0,1.6447628999994777,execucao_atual
LightGBM,fisicas_demografia_sem_hous_val_amt,True,50,63121.53246207223,3077.2358078511747,113537.13670974382,0.896018188541689,0,1.3947058000012476,execucao_atual
LightGBM,fisicas_demografia_sem_hous_val_amt,True,50,63381.689511706914,3404.236162190578,113654.80106168643,0.8957206606001192,0,1.3371501000001444,execucao_atual
LightGBM,fisicas_demografia_sem_hous_val_amt,True,50,63803.43914034693,3099.8066729154284,115617.4001266003,0.8922291494026416,0,2.2044139000026917,execucao_atual
XGBoost,todas_candidatas,False,51,64932.857684542156,2207.5994581786654,113051.8612072558,0.8968702694632412,0,1.9622364999995625,execucao_atual
LightGBM,fisicas_demografia_sem_hous_val_amt,True,50,65262.78043459766,3678.92386979933,116295.4844439613,0.8908210417161383,0,0.957834400000138,execucao_atual
LightGBM,fisicas_demografia_sem_hous_val_amt,False,50,65372.32696841811,2542.3530264697915,118439.67160498917,0.8861593546428024,0,1.1640244999980496,execucao_atual
LightGBM,todas_candidatas,False,51,65447.62663366876,3047.6340186248167,119320.14731878729,0.8842692192236292,0,1.169679200000246,execucao_atual
XGBoost,fisicas_demografia_sem_hous_val_amt,False,50,65750.64896937611,2544.486254694754,114554.62208633703,0.8941559858623961,0,1.800648899999942,execucao_atual
LightGBM,fisicas_originais,False,18,66411.62565754505,3360.1283126251587,117255.35740591917,0.8878321075507539,0,0.7488143000009586,execucao_atual
LightGBM,fisicas_com_derivadas,False,25,66789.63488651667,3226.4316381210583,120140.45787310379,0.8823265918983761,0,0.8370792999994592,execucao_atual
XGBoost,fisicas_originais,False,18,67780.26525637638,2244.5209199725673,116100.56935300409,0.8911439828117841,0,1.275115000000369,execucao_atual
XGBoost,fisicas_com_derivadas,False,25,67830.55871277979,2146.9119670711766,116722.01585179304,0.8900269348890065,0,1.4314574999989418,execucao_atual
LightGBM,fisicas_demografia_sem_hous_val_amt,True,50,69190.81644631898,2214.931303820717,125591.70384326152,0.8731268059491674,0,1.0155801000000793,execucao_atual
Random Forest,fisicas_originais,False,18,69859.88336130115,1829.3817515311246,128885.20276075306,0.8661735228702598,0,6.358186599998589,execucao_atual
Ridge,fisicas_originais,False,18,97344.71127721545,922.1999733608226,153417.30696074988,0.8107750901227178,20,0.274221400002716,notebook_04
