modelo,janela,MAPE_pct,vendas
Mediana,1,43.44310798331071,2392
Mediana,2,44.690902762110966,1626
Mediana,3,45.00022107921221,1917
Regressão linear,1,20.231988683298148,2392
Regressão linear,2,20.686988062811853,1626
Regressão linear,3,21.75097581500297,1917
Ridge,1,20.274459031079672,2392
Ridge,2,20.701496277549058,1626
Ridge,3,21.687976976853538,1917
