feature,aumento_MAE,desvio_repeticoes
lat,50113.32134759392,2620.7076282833195
sqft_living,42333.12737512878,1613.5818946598513
grade,39691.549296979,2655.200413650842
per_bchlr,18932.018603140732,757.7012582006104
per_prfsnl,17967.154127139827,1710.0398601480852
sqft_above,7974.373905603458,290.244522007061
view,7663.338964404223,291.7201391725408
long,7575.2450673308385,566.3874782831965
sqft_lot,5095.190391046151,298.14134100121106
log_living_area,4764.493709804029,683.222134907883
waterfront,4657.407346943311,449.7885451553225
yr_built,4205.100445425905,1159.978278188979
condition,3792.433640056901,562.1186512009614
sqft_living15,3564.1315044119015,704.066822086025
sqft_lot15,1900.2693970256562,293.03728542668716
medn_incm_per_prsn_amt,1361.5288544228388,485.6232307200756
non_farm_qty,1207.8883529792995,443.41464776775166
per_hsd,844.1370778200653,45.63142743721485
bathrooms_per_bedroom,820.1710161925245,195.31953050965024
medn_hshld_incm_amt,701.5223653611465,560.4377056540625
log_lot_area,557.0699510153645,89.65244628910555
edctn_prfsnl_qty,523.2956557055974,168.87839633151665
yr_renovated,412.17607894307974,398.1058591134879
edctn_less_than_9_qty,365.22845409870206,46.725629179693456
living_area_per_bedroom,268.5406908636699,172.7500252244966
edctn_9_12_qty,252.2015667097488,249.09613498583172
per_less_than_9,213.5615124664473,41.13833524772345
per_urbn,175.59611455234213,26.12619854261304
bathrooms,135.86274462676374,6.870766909474066
edctn_some_clg_qty,93.60841496316425,284.3803667410856
per_assoc,82.05262040919722,50.3912497739399
urbn_ppltn_qty,80.14950772094987,28.579228544976413
per_non_farm,72.56229993607364,13.16292102056075
per_farm,47.375084725446264,30.332257648871874
farm_ppltn_qty,37.548338320101415,21.918023721269208
has_renovation_year,9.016395989679344,28.91378267168545
sbrbn_ppltn_qty,-3.060146322857084,1.393164070606025
edctn_assoc_dgre_qty,-3.10238899976927,45.79831564571706
per_sbrbn,-8.988143815979129,0.0
has_recorded_basement,-12.015642638206677,14.967051754290248
edctn_bchlr_dgre_qty,-12.473807507800908,342.6487430077871
ppltn_qty,-22.67840908940707,72.7348297652738
per_9_to_12,-81.00016877687692,66.90706683866834
zipcode,-94.18993071895481,246.30357662601168
per_some_clg,-151.50494400431248,105.10639988204532
edctn_high_schl_qty,-179.9531844935021,69.17688031769964
bedrooms,-194.4472681418847,162.82093993103848
sqft_basement,-309.518129397756,206.81426650408554
basement_area_ratio,-473.1168612984038,152.01454623009138
floors,-688.1982825173376,235.56770469710398
