,count,mean,std,min,50%,95%,99%,max
basement_area_ratio,21613.0,0.1245021930932315,0.17096931128901197,0.0,0.0,0.4659889188227519,0.5,0.6666666666666666
living_area_per_bedroom,21600.0,618.1528095939555,215.8849157008159,49.09090909090909,576.6666666666666,1023.4166666666655,1317.5,3420.0
bathrooms_per_bedroom,21600.0,0.64088030311381,0.21177116328025078,0.0,0.625,1.0,1.25,2.5
