zipcode,vendas,participacao_pct,participacao_acumulada_pct
98103,602,2.7853606625641976,2.7853606625641976
98038,590,2.7298385231110904,5.5151991856752876
98115,583,2.6974506084301115,8.212649794105399
98052,574,2.655809003840281,10.86845879794568
98117,553,2.558645259797344,13.427104057743023
98042,548,2.5355110350252166,15.962615092768239
98034,545,2.52163050016194,18.48424559293018
98118,508,2.350437236848193,20.834682829778373
98023,499,2.308795632258363,23.143478462036736
98006,498,2.3041687873039374,25.447647249340672
98133,494,2.285661407486235,27.733308656826907
98059,468,2.16536343867117,29.89867209549808
98058,455,2.1052144542636375,32.00388654976172
98155,446,2.0635728496738075,34.06745939943552
98074,441,2.0404386249016797,36.1078980243372
98033,432,1.9987970203118495,38.10669504464905
98027,412,1.9062601212233379,40.01295516587239
98125,410,1.8970064313144865,41.90996159718688
98056,406,1.8784990514967843,43.78846064868366
98053,405,1.8738722065423585,45.66233285522602
98001,362,1.674917873502059,47.33725072872808
98075,359,1.6610373386387822,48.998288067366865
98126,354,1.6379031138666542,50.63619118123352
98092,351,1.6240225790033775,52.2602137602369
98144,343,1.587007819367973,53.84722157960488
98106,335,1.5499930597325684,55.39721463933745
98116,330,1.5268588349604404,56.92407347429789
98029,321,1.4852172303706102,58.4092907046685
98199,317,1.466709850552908,59.87600055522141
98004,317,1.466709850552908,61.34271040577432
98065,310,1.434321935871929,62.77703234164625
98122,290,1.3417850367834172,64.11881737842967
98146,288,1.3325313468745663,65.45134872530423
98028,283,1.3093971221024383,66.76074584740667
98008,283,1.3093971221024383,68.0701429695091
98040,282,1.3047702771480127,69.37491324665712
98003,280,1.2955165872391616,70.67042983389628
98198,280,1.2955165872391616,71.96594642113544
98031,274,1.2677555175126083,73.23370193864805
98072,273,1.2631286725581825,74.49683061120624
98112,269,1.2446212927404803,75.74145190394671
98168,269,1.2446212927404803,76.98607319668719
98055,268,1.2399944477860547,78.22606764447325
98107,266,1.2307407578772034,79.45680840235045
98136,263,1.2168602230139267,80.67366862536437
98178,262,1.2122333780595014,81.88590200342387
98030,256,1.1844723083329478,83.07037431175681
98177,255,1.1798454633785223,84.25021977513533
98166,254,1.1752186184240965,85.42543839355943
98022,234,1.082681719335585,86.50812011289501
98105,229,1.059547494563457,87.56766760745847
98045,221,1.0225327349280526,88.59020034238652
98002,199,0.9207421459306898,89.51094248831721
98077,198,0.9161153009762643,90.42705778929347
98011,195,0.9022347661129875,91.32929255540645
98019,190,0.8791005413408597,92.20839309674732
98108,186,0.8605931615231573,93.06898625827047
98119,184,0.8513394716143062,93.92032572988478
98005,168,0.777309952343497,94.69763568222828
98007,141,0.6523851385740064,95.35002082080229
98188,136,0.6292509138018785,95.97927173460417
98032,125,0.5783556193031971,96.55762735390736
98014,124,0.5737287743487716,97.13135612825613
98070,118,0.5459677046222181,97.67732383287834
98109,109,0.5043261000323879,98.18164993291073
98102,105,0.48581872021468564,98.66746865312541
98010,100,0.46268449544255774,99.13015314856797
98024,81,0.37477444130847176,99.50492758987644
98148,57,0.26373016240225794,99.7686577522787
98039,50,0.23134224772127887,99.99999999999997
