modelo,mae_medio,mae_desvio,rmse_medio,r2_medio,mae_treino_medio,segundos_totais,previsoes_nao_positivas,reducao_mae_vs_mediana_pct,mae_por_venda_validada
Regressão linear,97285.3074245348,1100.651797560194,153553.25369295877,0.8104316167522558,93992.94763551396,0.28580159999546595,21,55.40167028747138,97220.62026234755
Ridge,97344.71127721545,922.1999733608206,153417.30696074988,0.8107750901227178,94250.09406581649,0.2742214000027161,20,55.374437885393604,97288.37101242944
Mediana,218136.66128667886,1080.1523997695563,359954.3348599184,-0.04127679734948201,221903.81507130057,0.03223699999944074,0,0.0,218016.88896377422
