grade,vendas,preco_mediano,MAE,MAPE_pct,erro_mediano,erro_percentual_mediano,vies_medio,dentro_20_pct
4,7,217000.0,78689.60142850014,48.03156749343922,75001.56073623558,36.23468641629339,21595.856206879784,14.285714285714285
5,54,275500.0,70227.58658523488,20.851386643201387,45612.23593268155,18.939591077027472,-48389.975140366085,53.70370370370371
6,442,299975.0,60746.53758358642,18.10377878110943,42646.869058042634,14.37780760393894,-35702.65308696009,63.80090497737556
7,1816,399000.0,57544.45433259545,13.068547114547147,41048.13631674973,10.945167885794,-36488.326078348044,80.78193832599119
8,1217,530000.0,66403.88987804887,10.937363288077028,42227.4058483456,8.473679572997211,-39989.37298363553,85.45603944124898
9,499,750000.0,92829.31255586186,10.290858295520273,54908.11365062249,7.946289064445765,-55736.73486507313,85.97194388777555
10,207,938000.0,146066.32004198356,11.288161120169827,83605.48240884196,8.296344647211713,-78819.51953051848,86.47342995169082
11,72,1373500.0,232539.0713469193,13.147561181986866,169022.2058817019,9.663936754100224,-156236.40920313308,76.38888888888889
12,16,2225000.0,629240.5870046443,21.29164785344348,515454.8114698463,24.61408259896282,-524485.6602350716,43.75
13,1,2340000.0,1005647.5297212251,42.97639015902672,1005647.5297212251,42.97639015902672,-1005647.5297212251,0.0
