,medn_hshld_incm_amt,medn_incm_per_prsn_amt,hous_val_amt,per_bchlr,per_prfsnl
medn_hshld_incm_amt,1.0,0.6223291626564004,0.4893691486569254,0.3434021230065835,0.29575499775454533
medn_incm_per_prsn_amt,0.6223291626564004,1.0,0.9235278677049611,0.8969756714420266,0.8401176816819134
hous_val_amt,0.4893691486569254,0.9235278677049611,1.0,0.9055655453648009,0.8939902894780866
per_bchlr,0.3434021230065835,0.8969756714420266,0.9055655453648009,1.0,0.9439751997662542
per_prfsnl,0.29575499775454533,0.8401176816819134,0.8939902894780866,0.9439751997662542,1.0
