faixa_preco,vendas,preco_mediano,MAE,MAPE_pct,erro_mediano,erro_percentual_mediano,vies_medio,dentro_20_pct
Até 300 mil,815,250000.0,34065.03594722211,15.077994437929028,26730.151294604002,11.077422116324922,4370.442779840946,76.80981595092024
300 a 600 mil,2178,432000.0,50307.25124604459,11.463121957999338,39016.51033367848,9.294657054440993,-27839.85230049374,84.57300275482093
600 mil a 1 milhão,1023,725000.0,93704.06358083784,12.29489453841,74324.8105032621,9.95752801777568,-69292.51673401268,80.1564027370479
Acima de 1 milhão,315,1310000.0,278380.19132030907,17.385559847852342,219357.72721968056,15.859058718698575,-222182.55917691824,63.8095238095238
