janela,mae,rmse,r2,previsoes_nao_positivas,segundos
1,60093.61115044314,110907.11569990045,0.901170761135993,0,0.48434830000041984
2,60407.63312589011,103885.21082425937,0.9145014375980254,0,0.49716300000000047
3,66247.04937451622,119081.05633383761,0.8843554442323134,0,0.5422925999992003
