zipcode,vendas,preco_mediano,MAE,MAPE_pct,erro_mediano,erro_percentual_mediano,vies_medio,dentro_20_pct
98001,71,289950.0,34513.817969074196,11.475319685640068,32674.235996334406,10.67585039725903,-18140.822269012704,90.14084507042254
98002,44,235000.0,27723.80270933288,11.61592574733012,27852.851203412298,11.529927465576671,-17099.717949352158,84.0909090909091
98003,54,278000.0,34613.81912161671,11.983214097608933,23764.136334499868,9.060030701055922,-11074.584791136984,85.18518518518519
98004,60,1265750.0,200529.4699019611,13.002065944761199,171389.81606857287,12.60937235516208,-92416.56932710044,81.66666666666667
98005,33,800000.0,112951.86341878209,13.173836071209982,85939.31224587956,9.848186552235184,-78215.4944249603,81.81818181818183
98006,91,780000.0,171722.3438563334,14.758372232517479,88186.86590779712,11.742585678635283,-134642.92490977317,78.02197802197803
98007,28,589500.0,53454.020335201625,9.095798030067344,43897.06478559491,7.614272549872947,-22238.602402537344,92.85714285714286
98008,50,552000.0,83982.17092252184,12.51377826135737,46439.235405686486,9.815007541376922,-1219.4705386734008,84.0
98010,18,382003.0,78699.18940707229,15.082111846948244,35367.32088253822,11.187649298776908,-35649.58203562542,77.77777777777779
98011,36,480000.0,57093.24862126293,11.57955768372975,47152.82453486725,9.96198864039195,-39182.03699696317,94.44444444444444
98014,23,425000.0,73078.15455313651,14.876849891625694,52682.357384685194,14.279295645149396,-38059.490208353,65.21739130434783
98019,43,396000.0,35379.70325747715,7.599816555594149,18837.48923811759,4.856545743940553,-27115.808879014734,95.34883720930233
98022,41,278500.0,44668.00933396115,11.500401148778902,26357.397646043886,9.656493000931997,-19404.912055610188,87.8048780487805
98023,85,281000.0,34314.930796812274,11.75187198713425,22506.175260947814,8.514815579107076,-2358.357690437082,82.35294117647058
98024,22,500000.0,115218.9630812821,14.65375683300258,56261.64878821635,13.025107581460588,-101095.26063891682,72.72727272727273
98027,77,575000.0,71099.3079893626,11.83524132965517,48498.138259270985,9.032207579736319,-47029.88632053728,81.81818181818183
98028,62,475200.0,69047.98700797437,14.92502012979505,48111.32180889428,11.25574258473169,-28406.21890640597,79.03225806451613
98029,60,612000.0,55021.134926819395,7.24449947597184,32206.306053991517,5.4475104274405055,-42079.32709264939,93.33333333333333
98030,61,302000.0,25490.982831572444,8.891941035032618,19755.92528968217,7.226503897196883,-8535.456121802956,88.52459016393442
98031,57,305000.0,31227.03111502565,9.986545650729063,27643.559437449323,7.931734856137928,-11662.144707184812,92.98245614035088
98032,18,274000.0,34765.13462110405,12.971918699307446,33802.385836887595,13.322391747542264,-27576.46942230482,83.33333333333334
