modelo,grupo,log_alvo,n_colunas,mae_medio,mae_desvio,rmse_medio,r2_medio,nao_positivas,segundos,origem
LightGBM,fisicas_originais,False,18,66411.62565754505,3360.1283126251587,117255.35740591917,0.8878321075507539,0,0.7488143000009586,execucao_atual
LightGBM,fisicas_com_derivadas,False,25,66789.63488651667,3226.4316381210583,120140.45787310379,0.8823265918983761,0,0.8370792999994592,execucao_atual
LightGBM,fisicas_demografia_sem_hous_val_amt,False,50,65372.32696841811,2542.3530264697915,118439.67160498917,0.8861593546428024,0,1.1640244999980496,execucao_atual
LightGBM,todas_candidatas,False,51,65447.62663366876,3047.6340186248167,119320.14731878729,0.8842692192236292,0,1.169679200000246,execucao_atual
XGBoost,fisicas_originais,False,18,67780.26525637638,2244.5209199725673,116100.56935300409,0.8911439828117841,0,1.275115000000369,execucao_atual
XGBoost,fisicas_com_derivadas,False,25,67830.55871277979,2146.9119670711766,116722.01585179304,0.8900269348890065,0,1.4314574999989418,execucao_atual
XGBoost,fisicas_demografia_sem_hous_val_amt,False,50,65750.64896937611,2544.486254694754,114554.62208633703,0.8941559858623961,0,1.800648899999942,execucao_atual
XGBoost,todas_candidatas,False,51,64932.857684542156,2207.5994581786654,113051.8612072558,0.8968702694632412,0,1.9622364999995625,execucao_atual
