source_row,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,ppltn_qty,urbn_ppltn_qty,sbrbn_ppltn_qty,farm_ppltn_qty,non_farm_qty,medn_hshld_incm_amt,medn_incm_per_prsn_amt,edctn_less_than_9_qty,edctn_9_12_qty,edctn_high_schl_qty,edctn_some_clg_qty,edctn_assoc_dgre_qty,edctn_bchlr_dgre_qty,edctn_prfsnl_qty,per_urbn,per_sbrbn,per_farm,per_non_farm,per_less_than_9,per_9_to_12,per_hsd,per_some_clg,per_assoc,per_bchlr,per_prfsnl,has_recorded_basement,has_renovation_year,basement_area_ratio,living_area_per_bedroom,bathrooms_per_bedroom,log_living_area,log_lot_area,valor_base_log
12280,2.2317303663660667e-05,0.0008820459468848243,0.1027509930322934,0.009583550122752511,0.0019143992457567969,-0.0024386310562428235,-0.0159229343743215,0.027567188389927586,-0.09892957772679696,-0.004983620057517546,-0.010206748661447591,0.014873786394132577,-0.0030436416016527937,0.013463590984647316,0.20361650412466886,0.027335812374953677,-0.004744645258864889,0.014014875936917944,0.0007171320754892473,0.0004124680177577482,-3.5248116517069927e-06,0.0001776442223044052,0.0033127386411548605,0.00038962899252766123,-0.0017193322492149532,-0.0010926084828035189,-0.0005046022273179951,0.0016906649603754807,0.0009440298577979292,0.0012268971069039607,0.0021511709794591284,0.001546138860328848,-4.898131400770616e-06,-3.654618188514535e-06,0.00014784949584219678,0.00011760988239329811,-0.001142436797429547,-0.0010608926775978944,0.0001950524872459762,-0.0006163125130293128,-6.991913658844892e-05,0.05747423905697516,0.05142442000489955,0.00011620875743646515,-0.0002724354071286692,-0.01422142416056949,0.0007728307501784649,-0.016977941409964857,0.025926794639187307,0.005721298876327969,13.042609779806831
6122,0.0015304898077123583,0.005449144063087998,-0.09754908155150852,-0.0033439607545783924,0.004977913033264402,-0.0017319201979940542,-0.011469950596677946,-0.14218392025709534,-0.11240776929278806,-0.01535806762405907,-0.0016106000485994558,-0.010767390719488954,-0.002228867318795912,0.0028676333986209,0.00045343276037703296,0.006860771587169617,-0.03522112922215813,-0.012932541161589975,0.0018693529424929597,0.0003448848046455553,-5.61574043402633e-06,0.0002748804790746891,0.0030118716622368944,-0.0027580480552199713,-0.0022032514679854783,0.011018449993690463,-0.002363711071809655,0.000913770904684163,-0.0016608143845037828,-0.0005171068936244725,0.0021429550783957163,-0.0013902418069906824,0.0015298358294994778,-3.654618188514535e-06,9.229689848687936e-05,0.00023751484141629306,-0.00022958397218579576,-0.007234301384318773,-0.006521491275960387,0.00014837598171826486,-0.00019617992530180324,-0.0743847501830583,0.04061493715896995,-0.00010312931083921906,-0.00019883599794668413,-0.0022015362581093967,0.004227797535214645,-0.00853018035664354,-0.032993203981583154,0.0019297900474135766,13.042609779806831
13330,-0.002710295803066103,-0.009147055751324568,-0.2053553103361337,0.0049369763691864054,0.00457467763618187,-0.001474364341296501,-0.00947055534608958,-0.019331544469818003,-0.1055913142203489,-0.032756469141602525,0.004599676978868722,-0.015625404296486785,-0.0033161807010361347,-0.0018277458555663888,0.09617903495408898,0.031953512190292854,-0.03781345445021543,-0.00996372126866137,0.0001435700075446798,-0.0008687296364313265,-5.744850035126559e-06,0.00023951991069900432,0.0017576386079562556,-0.0008895340694503245,-0.00406908762887908,-4.0701435242182704e-05,-0.0001424489950257388,0.0007752449939948484,-0.0007182735057307855,-0.0003703251567627073,-0.004365730642296398,-0.0033546065890153473,2.2529205395623477e-05,-3.654618188514535e-06,0.00015786979473564222,0.0005049583126267373,-0.002062527647165266,-0.0011692787165729873,0.0036918035889503395,-0.0017649349392312322,-0.00020166177428761217,0.11073918741097231,0.07725851953322815,0.00014741236439884967,-0.00024033366069560726,0.007126924150721702,-0.006213909550322902,-0.003974582155906668,-0.0517401360746656,0.002507444789178847,13.042609779806831
129,0.0013266439732604782,0.005285219861916752,0.03413011710645997,-0.012147426191201351,-0.0012180138208357362,-0.002299293315496949,-0.011953213551888367,-0.024730052992233516,-0.09320941420310488,0.005322590362666849,8.377694060071363e-05,0.005026515714649688,-0.0026721940754636454,-0.0009791776146868424,0.01605214217012245,-0.03297826361054954,0.016495360636115085,0.0011225193981782154,0.005042084446901334,0.0014440324060039614,-5.581125389967299e-06,0.0009015364910198737,-0.0036122373060103142,-0.0016987086274366364,-0.004293533034770593,-0.001401670411543896,0.01049852924731367,0.011362524564455034,0.01902394145027744,0.0025457116949796767,-0.004874097240548073,-0.0029785931681056772,0.003523125792235105,-5.661265053846037e-06,0.00023641462793453434,7.125845846772026e-06,-0.0013137740132900995,-0.0012880106417711124,-0.0026771341134448788,0.00031627404345183476,4.709593752720379e-05,-0.04574882460098975,-0.04737676191070656,-0.00011792914636792919,-9.085298029122214e-05,0.0023305034698751052,-0.0018364583571396813,0.007271747019685729,0.00022450462429628146,-0.004618598277091399,13.042609779806831
18992,0.0037536607511213043,-0.0016154106693307274,0.1601932044060756,0.015705219457496866,-0.00039360028368546013,-0.008692374991782482,0.21995956877564019,0.07665016595070226,0.2916273422565107,0.02632381637062129,0.0013047697498809387,-0.008529735015112307,-0.0018004866852550506,-0.0016588691471725264,0.10076615014152657,-0.047834320015434834,0.07269572822580267,-0.008554296125634022,0.000333183013659156,0.0008617672348385269,-4.069659405336147e-06,0.00016247937182628638,-0.008349826460193993,-0.006815450959777137,6.630240225353916e-05,-0.0010444567588701872,-0.0061407859335621635,-0.00018390172087554091,-0.0030731690631334444,-0.0013785319661282298,-0.0011652435003074524,0.0024620881977126816,0.00010756576621399808,-1.4518482416225084e-06,0.00015202080269622307,4.114809369306775e-05,-0.001555899593444214,0.0011136351528101024,0.003274651076082626,-0.0024480009008664154,0.002397618195378334,0.03328639380448535,0.09296080927194032,0.00012519929681332437,-0.00022547214049412252,0.003378599811540613,0.003060377744796493,-0.00972996525719374,0.0360884043803168,0.00746268102341413,13.042609779806831
18598,0.0009706580240315155,0.0025720792385333685,-0.03554095288386345,-0.0035591665808696695,0.0018298171231084007,-0.0018316778725313556,-0.013418513164686051,0.02792526248821682,-0.2131495912293235,-0.0094101319065157,-2.9809917130467923e-05,-0.013842873028213593,-0.0020550663946310643,-1.879832846963287e-05,-0.004662763874995408,0.005277276715943182,-0.003124141593172905,-0.0037661342487777067,0.0003900513069794612,0.00033461918479468794,-6.115997062367551e-05,0.00043805054503593034,0.001615301596504145,0.006336701111031884,-0.0009498572962624314,0.0027040997946000582,-0.0017346314549876343,-0.004269641215042995,-0.00265428887367264,-0.0016114048795914711,0.004246861621199391,0.00015986319112258474,7.487819150623884e-05,-3.654618188514535e-06,9.332848147544426e-05,0.000227309885335135,-4.693630767940503e-05,0.006027562971961759,-0.001265157543659056,0.004436906717187742,0.0002767390751041251,-0.05324966234008939,-0.01404423359056993,-0.0011773062913079037,-0.00017081945864007818,0.0015134209659466236,-0.0017182327925978334,0.006744249171891927,-0.006330155283080102,0.004738592775835767,13.042609779806831
861,-0.0006590529919487997,-0.010391090222710932,-0.16701306953709988,-0.001762106617644762,0.0034520640968699542,-0.0014590053809692368,-0.008962957398354664,-0.019146927910527946,-0.09989297616984784,-0.03359800053684089,-0.0008817940677586681,-0.013626550826814627,-0.0033357843803495007,-0.0030324808727053456,0.23385587244957423,0.04634582507516849,-0.030078004737946796,-0.004384814172785451,-0.005064722271746069,-0.002196084070120238,-5.744850035126559e-06,0.0002713379726382223,0.0023876154244616586,-0.001844844334188351,-0.005697835272074088,0.00015709215868890762,-0.0001060521779289712,0.0016085787123150392,-0.0005356618401738108,0.0004571887209324725,-0.0036157363364423224,-0.0034411175786680233,4.2794283930743944e-05,-3.654618188514535e-06,0.00015786979473564222,0.000523032777831298,-0.0014850219715380306,-0.002709628112780663,0.008329859562694957,-0.0028930003398231563,-0.0005257677299163562,0.12207057824012742,0.09627478459073328,-3.152828933827096e-05,-0.00016129880299870593,0.0034538739293496425,0.0037535254019975257,-0.016916579680663766,-0.03544250845727522,-0.004241186018679307,13.042609779806831
5361,0.00044458428014219393,-0.002267448311443501,-0.016790020804272814,0.0031885813918174476,0.00290059791325879,-0.0022364036959817285,-0.013698202833740533,0.022469295972235362,-0.08883717619960227,0.011280295346697429,-0.00045155009554873467,-0.024820429183454246,-0.002943269723067887,0.005194705251923675,0.15108642334591976,-0.04484857492758862,0.018942603785619308,-0.0033581910380511147,-0.00017320369018318968,0.0005324256982578128,-5.61574043402633e-06,0.00021609613856850393,0.002158403853901908,-0.006873496237288302,-0.0030373811307211496,-0.0003479546786894578,-8.159402783256491e-05,0.002088552834563428,0.007375590166147585,-0.0006381399930848435,0.001254365667095897,0.0010342067437403664,5.500181548632811e-05,-6.440358901335884e-06,0.00021696174463220952,0.00017533656391036003,-0.00018776153569013523,-0.0009242342111505443,0.0011798131724444724,6.081757879927516e-05,0.00030344784815120285,0.05885752319554275,0.0467020545491837,-2.739776519181803e-05,-0.0002035971259039333,0.0032112488265444556,-0.0006586303817319788,0.006663955015762728,0.00042667639572761633,0.0039664469983804376,13.042609779806831
4535,0.00010051447804673315,0.00200296564686824,0.11225207902191316,0.005789473738678301,-0.01328590802081308,-0.006338560761180241,0.08899025047206653,0.02299737746901128,0.0015465203844319314,0.03252624950810707,0.002141002383523446,-0.01571828112711642,-0.0038212427668391563,-0.0017554925325757934,0.15346627927574258,-0.03581401573523337,0.030123939268622505,0.001263703078678531,0.0010551275058123272,0.0001205417007489892,-6.809756164343423e-06,0.00024433421576677556,0.00361370620231774,-0.004054649983605992,-0.004977357211171654,-3.1453305540715015e-05,-0.010010897600085401,-0.0013789227094833294,-0.0017797411676601647,-0.0009556563677734707,-0.0025224143228900933,0.0019776152191544865,0.0006620933974011876,-2.5782456438389804e-06,0.00013111441938463985,0.0001193195119104905,-0.0013118256515631263,-0.0011014210292380824,0.00023308596894946372,-0.0012482062711302528,-0.00024616593483265775,0.04699725485889525,0.04802159126543215,-2.1639823656071306e-05,-0.00034702347296587487,0.004465809052797559,0.002617245603271169,0.00817177754542318,0.03052214282801512,0.004055049620835276,13.042609779806831
18162,0.0007243211939388038,0.006818200018915449,0.08813588657110281,-0.00929020313925818,-0.002917872077229997,-0.0030494196590191954,-0.015169562181623525,-0.020742006853080305,-0.09385655011443142,0.019183577591478203,0.00037556902544835357,0.032202226195289584,-0.0031899763613767044,-0.0008445188840933317,-0.18710149675232315,-0.0062087688813045275,0.015495330138617272,-0.005719390240444415,-0.0004769773305796296,0.00015454463082733625,-5.61574043402633e-06,0.00048364999374617834,-0.0017501740263076732,-0.002943025396810973,-0.0029025860473217142,-0.0014350220462465242,-0.010938898174591103,-0.00862411362241084,-0.006185767718826987,-0.0025334985454528625,0.0026929662046607295,-0.0008744211610145165,-0.0014039139597607864,-1.4518482416225084e-06,0.00020683512114245554,0.0001755167576438545,-0.00511321024629253,0.0008934976237643324,-0.0013143265542439797,-8.192175202683802e-05,-0.0004685984386166799,-0.0778402911386923,-0.11183148094227878,0.00017290918137478784,-0.0003541680488995382,0.0016926837687637015,-0.0016327014519472603,0.004607989627671151,0.027512621914523364,-0.001828818316745615,13.042609779806831
